SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Vacant Land,152 Anthoine St,South Portland,ME,04106,199000,,,South Portland,,9583,,5,,,Active,,,https://www.redfin.com/ME/South-Portland/152-Anthoine-St-04106/home/100290868,MREIS,1628911,N,Y,43.6283961,-70.2581742
MLS Listing,,Single Family Residential,392 Sanford Rd,Wells,ME,04090,295000,2,1.5,Wells,882,21780,1979,13,334,,Active,,,https://www.redfin.com/ME/Wells/392-Sanford-Rd-04090/home/100053703,MREIS,1627772,N,Y,43.320487,-70.599054
MLS Listing,,Single Family Residential,37 Paul St,York,ME,03909,1200000,3,2.0,York,3186,173368,2000,16,377,,Active,,,https://www.redfin.com/ME/York/37-Paul-St-03909/home/96675561,MREIS,1627496,N,Y,43.1690358,-70.6289985
MLS Listing,,Single Family Residential,848 Cape Rd,Limington,ME,04049,575000,3,1.0,Limington,1800,522720,,31,319,,Active,,,https://www.redfin.com/ME/Limington/848-Cape-Rd-04049/home/100305042,MREIS,1625365,N,Y,43.7215363,-70.7044891
MLS Listing,,Condo/Co-op,7 Bay Ave #2,Old Orchard Beach,ME,04064,428000,3,2.0,White Cap Condominium Association,548,,1950,53,781,300,Active,,,https://www.redfin.com/ME/Old-Orchard-Beach/7-Bay-Ave-04064/unit-2/home/175551190,MREIS,1622512,N,Y,43.508531,-70.3797481
MLS Listing,,Single Family Residential,121 Log Cabin Rd,Kennebunkport,ME,04046,695000,4,2.0,Kennebunkport,2553,65340,1936,54,272,,Active,,,https://www.redfin.com/ME/Kennebunkport/121-Log-Cabin-Rd-04046/home/100021259,MREIS,1622418,N,Y,43.3972906,-70.4844409
MLS Listing,,Single Family Residential,2 Moxie Ln,Biddeford,ME,04005,795000,3,2.5,Moxie Lane Subdivision,2256,20037,2025,1,352,50,Active,,,https://www.redfin.com/ME/Biddeford/2-Moxie-Ln-04005/home/192518292,MREIS,1629342,N,Y,43.4591449,-70.4234967
MLS Listing,,Single Family Residential,7 Papoose Island Rd,Raymond,ME,04071,1900000,4,3.0,Raymond,2806,20473,1960,1,677,25,Active,,,https://www.redfin.com/ME/Raymond/7-Papoose-Island-Rd-04071/home/100111451,MREIS,1629340,N,Y,43.8494692,-70.5005675
MLS Listing,,Single Family Residential,648 Quarry Rd,Wells,ME,04090,650000,3,2.0,Wells,2136,100623,1994,1,304,,Active,July-12-2025 11:00 AM,July-12-2025 01:00 PM,https://www.redfin.com/ME/Wells/648-Quarry-Rd-04090/home/100052009,MREIS,1628460,N,Y,43.3367318,-70.7073566
MLS Listing,,Single Family Residential,26 Gold Ribbon Dr,Wells,ME,04090,3499000,4,3.5,Wells,2496,10018,1925,1,1402,,Active,,,https://www.redfin.com/ME/Wells/26-Gold-Ribbon-Dr-04090/home/79021667,MREIS,1629004,N,Y,43.293852,-70.5679557
MLS Listing,,Condo/Co-op,218 Washington Ave #207,Portland,ME,04101,899000,2,2.0,Portland,1280,,2023,1,702,515,Active,,,https://www.redfin.com/ME/Portland/218-Washington-Ave-04101/unit-207/home/193217130,MREIS,1629245,N,Y,43.6702621,-70.2553336
MLS Listing,,Condo/Co-op,371 Mile Rd #111,Wells,ME,04090,280000,1,1.0,EAST WINDS CONDOMINIUMS,458,435,1986,1,611,295,Active,,,https://www.redfin.com/ME/Wells/371-Mile-Rd-04090/unit-111/home/148416553,MREIS,1629324,N,Y,43.3028556,-70.568093
MLS Listing,,Single Family Residential,69 Webb Rd,Windham,ME,04062,495000,3,2.0,Windham,1750,148104,1945,1,283,,Active,,,https://www.redfin.com/ME/Windham/69-Webb-Rd-04062/home/97626507,MREIS,1628656,N,Y,43.7661593,-70.4201823
MLS Listing,,Single Family Residential,55 Ossipee Trl E,Standish,ME,04084,399500,3,1.5,Standish,1596,30492,1940,1,250,,Active,July-6-2025 12:00 PM,July-6-2025 02:00 PM,https://www.redfin.com/ME/Standish/55-Ossipee-Trl-E-04084/home/99975694,MREIS,1629302,N,Y,43.7333023,-70.5470946
MLS Listing,,Single Family Residential,50 Carlisle Ln,Wells,ME,04090,699000,3,2.5,Wells,1904,23958,2015,1,367,,Active,,,https://www.redfin.com/ME/Wells/50-Carlisle-Ln-04090/home/100051598,MREIS,1628069,N,Y,43.3313413,-70.6209333
MLS Listing,,Single Family Residential,41 Leisure Ln,Frye Island,ME,04071,1690000,4,3.0,Frye Island,2352,26571,1972,2,719,,Active,,,https://www.redfin.com/ME/Frye-Island/41-Leisure-Ln-04071/home/109743159,MREIS,1628062,N,Y,43.8500377,-70.5274619
MLS Listing,,Single Family Residential,6 North Beach Rd,Frye Island,ME,04071,530000,2,1.0,Frye Island,1075,15246,1985,2,493,,Active,,,https://www.redfin.com/ME/Frye-Island/6-N-Beach-Rd-04071/home/196269799,MREIS,1629285,N,Y,43.8432486,-70.5294843
MLS Listing,,Vacant Land,0 Ocean Ave,Wells,ME,04090,460000,,,Wells,,8276,,2,,,Active,,,https://www.redfin.com/ME/Wells/0-Ocean-Ave-04090/home/188892925,MREIS,1629283,N,Y,43.2679708,-70.5875406
MLS Listing,,Single Family Residential,28 Turkey Farm Rd,Standish,ME,04084,275000,3,1.0,Standish,745,26136,1960,2,369,,Active,,,https://www.redfin.com/ME/Standish/28-Turkey-Farm-Rd-04084/home/99975823,MREIS,1629281,N,Y,43.7893735,-70.5730497
MLS Listing,,Condo/Co-op,16 Frontier Way #161,Arundel,ME,04046,479000,2,2.0,Arundel,1015,12937320,2019,2,472,485,Active,,,https://www.redfin.com/ME/Arundel/16-Frontier-Way-04046/unit-161/home/196268811,MREIS,1629263,N,Y,43.4365571,-70.5152403
MLS Listing,,Single Family Residential,7 Colony Ln,South Portland,ME,04106,649000,4,2.0,South Portland,2409,30056,1986,2,269,,Active,July-6-2025 11:00 AM,July-6-2025 12:30 PM,https://www.redfin.com/ME/South-Portland/7-Colony-Ln-04106/home/100283765,MREIS,1628873,N,Y,43.6283959,-70.3125717
MLS Listing,,Single Family Residential,235 Leisure Ln,Frye Island,ME,04071,875000,3,1.0,Frye Island,1296,17859,1984,2,675,,Active,,,https://www.redfin.com/ME/Frye-Island/235-Leisure-Ln-04071/home/196177039,MREIS,1627863,N,Y,43.8462684,-70.5318176
MLS Listing,,Single Family Residential,233 Beaver Dam Rd,Waterboro,ME,04061,430000,4,2.0,Lake Arrowhead Community,1428,29620,1999,3,301,106,Active,,,https://www.redfin.com/ME/North-Waterboro/233-Beaver-Dam-Rd-04061/home/100277421,MREIS,1628922,N,Y,43.654949,-70.7182631
MLS Listing,,Condo/Co-op,14 Conifer Dr #14,Windham,ME,04062,410000,2,2.0,Woodside Condominium Association,964,498326,2020,3,425,250,Active,,,https://www.redfin.com/ME/Windham/14-Conifer-Dr-04062/unit-14/home/196264543,MREIS,1629225,N,Y,43.7784529,-70.417952
MLS Listing,,Single Family Residential,2 Jack Rabbit Rdg,York,ME,03909,1495000,4,3.5,Gulf Hill,3957,32670,2025,3,378,42,Active,,,https://www.redfin.com/ME/York/2-Jack-Rabbit-RDG-03909/home/195105285,MREIS,1629207,N,Y,43.222057,-70.612394
MLS Listing,,Single Family Residential,4 Jack Rabbit Rdg,York,ME,03909,1475000,3,2.5,York,2942,25700,2025,3,501,42,Active,,,https://www.redfin.com/ME/York/4-Jack-Rabbit-Rdg-03909/home/177150161,MREIS,1629204,N,Y,43.222067,-70.61234
MLS Listing,,Single Family Residential,285 Atlantic Ave,Wells,ME,04090,2150000,4,3.0,Wells,3044,4791,1925,3,706,,Active,,,https://www.redfin.com/ME/Wells/285-Atlantic-Ave-04090/home/100053021,MREIS,1629199,N,Y,43.3120596,-70.5626048
MLS Listing,,Vacant Land,0 Wildes District Rd,Kennebunkport,ME,04046,1750000,,,Kennebunkport,,191664,,3,,,Active,,,https://www.redfin.com/ME/Kennebunkport/0-Wildes-District-Rd-04046/home/186064524,MREIS,1629196,N,Y,43.357313,-70.4690918
MLS Listing,,Condo/Co-op,25 Adams Ln #5,Arundel,ME,04046,424900,2,1.0,Arundel,1000,13068000,2017,3,425,485,Active,,,https://www.redfin.com/ME/Arundel/25-Adams-Ln-04046/unit-5/home/175012519,MREIS,1629195,N,Y,43.43283,-70.508483
MLS Listing,,Single Family Residential,388 Ossipee Trl E,Gorham,ME,04038,395000,2,1.0,Gorham,1110,43124,1949,3,356,,Active,,,https://www.redfin.com/ME/Gorham/388-Ossipee-Trl-04038/home/99958188,MREIS,1629191,N,Y,43.712836,-70.5169086
MLS Listing,,Condo/Co-op,175 Beach Ave #2,Kennebunk,ME,04043,1095000,2,1.5,Kennebunk,1048,10454,1950,3,1045,314,Active,,,https://www.redfin.com/ME/Kennebunk/175-Beach-Ave-04043/unit-2/home/99999679,MREIS,1629187,N,Y,43.3459795,-70.4902532
MLS Listing,,Single Family Residential,8 Maplewood Dr,Limington,ME,04049,229000,3,2.0,Hidden Lake Village,1450,,2025,3,158,595,Active,,,https://www.redfin.com/ME/Limington/8-Maplewood-Dr-04049/home/100306308,MREIS,1629179,N,Y,43.7539477,-70.6734898
MLS Listing,,Single Family Residential,42 Mason Dr,Arundel,ME,04046,575000,1,1.0,Arundel,2432,131115,2003,3,236,,Active,,,https://www.redfin.com/ME/Arundel/42-Mason-Dr-04046/home/100165385,MREIS,1629174,N,Y,43.4102664,-70.5005636
MLS Listing,,Condo/Co-op,148 Breakwater Dr #809,South Portland,ME,04106,590000,2,1.0,Breakwater Condo Assoc.,730,,1987,3,808,561,Active,July-6-2025 01:00 PM,July-6-2025 03:00 PM,https://www.redfin.com/ME/South-Portland/148-Breakwater-Dr-04106/unit-809/home/100285972,MREIS,1629175,N,Y,43.6486206,-70.2327765
MLS Listing,,Single Family Residential,150 Chapel Rd #123,Wells,ME,04090,49900,2,2.0,Wells,676,,2018,3,74,750,Active,,,https://www.redfin.com/ME/Wells/150-Chapel-Rd-04090/unit-123/home/100047081,MREIS,1629173,N,Y,43.3110137,-70.5898423
MLS Listing,,Single Family Residential,18 Colchester Dr,South Portland,ME,04106,1495000,4,3.5,South Portland,4136,46609,2006,3,361,,Active,,,https://www.redfin.com/ME/South-Portland/18-Colchester-Dr-04106/home/100290462,MREIS,1629167,N,Y,43.6095245,-70.27994
MLS Listing,,Condo/Co-op,148 Breakwater Dr #808,South Portland,ME,04106,490000,1,1.0,Breakwater Condo Assoc.,584,,1987,3,839,461,Active,July-6-2025 01:00 PM,July-6-2025 03:00 PM,https://www.redfin.com/ME/South-Portland/148-Breakwater-Dr-04106/unit-808/home/100284687,MREIS,1629168,N,Y,43.6486206,-70.2327765
MLS Listing,,Single Family Residential,29 Acorn St,Gorham,ME,04038,450000,3,2.5,Gorham,1507,15246,2011,3,299,,Active,,,https://www.redfin.com/ME/Gorham/29-Acorn-St-04038/home/99960954,MREIS,1629156,N,Y,43.7250398,-70.4224764
MLS Listing,,Condo/Co-op,3 Creekside Ct #2,Kennebunk,ME,04043,595900,3,3.5,Creekside Crossing,1994,612018,2025,3,299,312,Active,,,https://www.redfin.com/ME/Kennebunk/3-Creekside-CT-04043/unit-2/home/196262354,MREIS,1629149,N,Y,43.375474,-70.552517
